epsilon, gamma, alpha, defaultq, successes, avg_buffer, avg_penalties
0.05, 0.5, '1.0/t', 0.0, 98,0.57248763141620285, 0.41 
0.05, 0.5, '1.0/t', 0.0, 100,0.54707005772005779, 0.37 
0.05, 0.5, '1.0/t', 0.0, 98,0.59901669758812626, 0.3 
0.05, 0.5, '1.0/t', 0.0, 98,0.61301020408163265, 0.26 
0.05, 0.5, '1.0/t', 0.0, 96,0.60939619408369416, 0.3 
0.01, 0.5, '1.0/t', 0.0, 98,0.61360065671290165, 0.19 
0.01, 0.5, '1.0/t', 0.0, 100,0.56471428571428572, 0.23 
0.01, 0.5, '1.0/t', 0.0, 97,0.57634920634920639, 0.15 
0.01, 0.5, '1.0/t', 0.0, 97,0.62080555183647956, 0.17 
0.01, 0.5, '1.0/t', 0.0, 99,0.55092767501858408, 0.2 
0.01, 0.5, '1.0/t', 0.0, 98,0.59536170745354422, 0.2 
0.01, 0.5, '1.0/t', 0.0, 98,0.57323453190800122, 0.2 
0.01, 0.5, '1.0/t', 0.0, 98,0.59025105280207324, 0.17 
0.01, 0.5, '1.0/t', 0.0, 97,0.58853951890034362, 0.22 
0.01, 0.5, '1.0/t', 0.0, 99,0.57385070036585195, 0.26 
0.01, 0.5, '1.0/t', 0.0, 99,0.5810591484833908, 0.14 
0.01, 0.5, '1.0/t', 0.0, 95,0.59945697577276513, 0.21 
0.01, 0.5, '1.0/t', 0.0, 100,0.60340649350649356, 0.21 
0.01, 0.5, '1.0/t', 0.0, 97,0.55662084765177555, 0.14 
0.01, 0.5, '1.0/t', 0.0, 99,0.60293249959916628, 0.18 
0.01, 0.5, '1.0/t', 0.0, 99,0.61575210984301887, 0.18 
0.01, 0.5, '1.0/t', 0.0, 100,0.61039365079365071, 0.18 
0.01, 0.5, '1.0/t', 0.0, 97,0.55821231460406717, 0.2 
0.01, 0.5, '1.0/t', 0.0, 98,0.56171930677032722, 0.15 
0.01, 0.5, '1.0/t', 0.0, 97,0.60464839856592434, 0.21 
0.01, 0.5, '1.0/t', 0.0, 98,0.56416696115675702, 0.19 
0.01, 0.5, '1.0/t', 0.0, 97,0.58117820324005887, 0.18 
0.01, 0.5, '1.0/t', 0.0, 99,0.58074955908289239, 0.14 
0.01, 0.5, '1.0/t', 0.0, 99,0.57188114915387644, 0.24 
0.01, 0.5, '1.0/t', 0.0, 98,0.60229429867184969, 0.17 
0.01, 0.5, '1.0/t', 0.0, 100,0.57632171717171721, 0.19 
0.01, 0.5, '1.0/t', 0.0, 98,0.58915061695673943, 0.16 
0.01, 0.5, '1.0/t', 0.0, 99,0.57351932018598695, 0.19 
0.01, 0.5, '1.0/t', 0.0, 100,0.57365476190476195, 0.23 
