Security Start Date,Company Name,Country of Incorporation,LSE Market,FCA Listing Category,ISIN,Security Name,TIDM,Mkt Cap £m,Shares in Issue,Industry,Supersector,Sector,Subsector,Group,MarketSegmentCode,MarketSectorCode,Trading Currency,,,,,,,,,,,,,,,,,,
26-Oct-05,ACCSYS TECHNOLOGIES                ,GB,AIM,,GB00BQQFX454,EUR0.05                                 ,AXS  ,63.892234515,"90,627,283.00",Industrials,Construction & Materials,Construction & Materials,Building Materials & Fixtures,2353,SSMU,AIMM,GBX,,,,,,,,,,,,,,,,,,
9-Jul-07,ACENCIA DEBT STRATEGIES LTD        ,GG,UK Main Market,Premium Equity Closed Ended Investment Funds,GB00B0MSB420,ORD NPV                                 ,ACD ,120.37773155305,"111,768,949.00",Financials,Equity Investment Instruments,Equity Investment Instruments,Equity Investment Instruments,8985,SET3,ON15,USD,,,,,,,,,,,,,,,,,,
2-Nov-95,ACER INC                           ,TW,PSM,Standard GDRs,US0044342055,GDR EACH REPR 5 ORD TWD10 REG'S'(CIT)   ,ACID,0,"10,800,000.00",Technology,Technology,Technology Hardware & Equipment,Computer Hardware,9572,IOBE,IPHE,USD,,,,,,,,,,,,,,,,,,
2-Nov-95,ACER INC                           ,TW,PSM,Standard GDRs,US0044341065,GDR EACH REPR 5 ORD TWD10'144A'(CIT)    ,ACIA,0,0.00,Technology,Technology,Technology Hardware & Equipment,Computer Hardware,9572,MISC,INPE,USD,,,,,,,,,,,,,,,,,,
11-Feb-99,ACORN INCOME FUND                  ,GG,UK Main Market,Premium Equity Closed Ended Investment Funds,GB0004829437,ORD GBP0.01                             ,AIF ,66.771881085,"18,848,802.00",Financials,Nonequity Investment Instruments,Nonequity Investment Instruments,Nonequity Investment Instruments,8995,SSQ3,SQQ3,GBX,,,,,,,,,,,,,,,,,,
29-Oct-12,ACORN MINERALS PLC                 ,GB,UK Main Market,Standard Shares,GB00B6QZLQ32,ORD GBP0.02                             ,ACO ,1.91102066875,"14,288,005.00",Basic Materials,Basic Resources,Mining,General Mining,1775,SSX3,SQSL,GBX,,,,,,,,,,,,,,,,,,
23-Dec-13,ACTION HOTELS PLC                  ,JE,AIM,,JE00BFZD1492,ORD GBP0.1                              ,AHCG ,83.415015175,"147,637,195.00",Consumer Services,Travel & Leisure,Travel & Leisure,Hotels,5753,ASQ1,AMQ1,GBX,,,,,,,,,,,,,,,,,,
6-Mar-98,ACTIVE ENERGY GROUP PLC            ,GB,AIM,,GB00B1YMN108,ORD GBP0.01                             ,AEG  ,19.1239561065,"721,658,721.00",Oil & Gas,Oil & Gas,Alternative Energy,Alternative Fuels,587,ASQ1,AMQ1,GBX,,,,,,,,,,,,,,,,,,
13-Feb-14,ACTUAL EXPERIENCE PLC              ,GB,AIM,,GB00BJ05QC14,ORD GBP0.002                            ,ACT  ,99.41359195,"37,514,563.00",Technology,Technology,Software & Computer Services,Software,9537,ASQ1,AMQ1,GBX,,,,,,,,,,,,,,,,,,
19-Feb-14,ADAMAS FINANCE ASIA LTD            ,VG,AIM,,VGG008271162,NPV(DI)                                 ,ADAM ,65.8099637697958,"191,967,084.00",Financials,Financial Services,Financial Services,Specialty Finance,8775,ASQ1,AMQ1,USD,,,,,,,,,,,,,,,,,,
